date,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,1. open,2. high,3. low,4. close,5. volume
2018-06-11 14:00,191.9985,191.7428,-0.4017,-0.0489,-0.3527,68.5241,52.8169,46.2014,17.8394,-27.6967,45.0,10.0,8920254.0,191.71,191.79,191.36,191.38,1377320.0
2018-06-11 15:00,191.869,191.7092,-0.3791,-0.0211,-0.358,74.1146,65.0285,46.325,17.7085,-32.8527,40.0,5.0,10209974.0,191.37,191.52,191.15,191.3899,1289720.0
2018-06-11 16:00,191.7418,191.6636,-0.3698,-0.0094,-0.3603,64.6332,69.0906,44.4918,17.6306,-34.6778,35.0,0.0,6845460.0,191.385,191.49,191.07,191.23,3364514.0
2018-06-12 10:00,191.6398,191.6223,-0.3583,0.0016,-0.3599,49.2252,62.6577,44.4918,17.3157,-20.447,30.0,25.0,6845460.0,191.385,191.79,191.15,191.23,2010670.0
2018-06-12 11:00,191.5483,191.6097,-0.3245,0.0284,-0.3528,42.462,52.1068,48.5768,16.9366,-1.7005,25.0,20.0,8940734.0,191.24,191.89,191.2,191.49,2095274.0
2018-06-12 12:00,191.4733,191.6183,-0.2775,0.0603,-0.3378,49.434,47.0404,51.7626,16.5764,10.2188,20.0,15.0,10351028.0,191.49,191.74,191.2,191.7,1410294.0
2018-06-12 13:00,191.4348,191.6375,-0.228,0.0878,-0.3158,73.1707,55.0222,53.5882,16.1316,48.8998,15.0,10.0,11598068.0,191.7,191.86,191.63,191.82,1247040.0
2018-06-12 14:00,191.3873,191.7111,-0.1396,0.141,-0.2806,84.845,69.1499,61.54,15.5322,135.6813,10.0,5.0,13524823.0,191.82,192.611,191.8149,192.41,1926755.0
2018-06-12 15:00,191.2798,191.6729,-0.1564,0.0993,-0.2557,61.8339,73.2832,45.4196,14.9376,71.2607,5.0,0.0,11850894.0,192.4,192.41,191.29,191.31,1673929.0
2018-06-12 16:00,191.3538,191.7307,-0.0904,0.1322,-0.2227,56.8599,67.8462,56.567,14.3799,118.1851,0.0,90.0,15866270.0,191.3138,192.34,191.28,192.28,4015376.0
2018-06-13 10:00,191.4493,191.7906,-0.0314,0.1531,-0.1844,55.1598,57.9512,57.365,13.6683,159.2418,0.0,85.0,17806036.0,192.42,192.59,191.81,192.36,1939766.0
2018-06-13 11:00,191.5498,191.862,0.0296,0.1713,-0.1416,84.1164,65.3787,59.2372,12.9923,170.1222,0.0,80.0,19718487.0,192.36,192.575,192.06,192.54,1912451.0
2018-06-13 12:00,191.6336,191.9461,0.0935,0.1881,-0.0946,89.1276,76.1346,61.3851,12.5934,192.8251,25.0,100.0,21111326.0,192.52,192.88,192.515,192.7452,1392839.0
2018-06-13 13:00,191.6859,191.9691,0.0979,0.154,-0.0561,80.9781,84.7407,52.953,12.0323,113.5866,20.0,95.0,19944313.0,192.75,192.76,192.13,192.1871,1167013.0
2018-06-13 14:00,191.7249,191.9882,0.0989,0.124,-0.0251,60.6379,76.9145,52.7066,11.6349,68.1287,15.0,90.0,18958814.0,192.1899,192.29,191.96,192.17,985499.0
2018-06-13 15:00,191.7134,191.9388,0.0427,0.0542,-0.0115,41.8866,61.1675,43.4976,12.1041,-36.5701,10.0,85.0,15313699.0,192.17,192.26,190.7,191.47,3645115.0
2018-06-13 16:00,191.6929,191.8209,-0.0632,-0.0414,-0.0219,26.5406,43.0217,35.8433,12.6958,-104.3324,5.0,80.0,8468280.0,191.47,191.9,190.44,190.7,6845419.0
2018-06-14 10:00,191.6986,191.7094,-0.1495,-0.1021,-0.0474,20.9687,29.7986,35.3939,13.379,-138.5118,0.0,75.0,5426347.0,191.55,191.57,190.22,190.65,3041933.0
2018-06-14 11:00,191.6656,191.597,-0.225,-0.1421,-0.0829,14.1869,20.5654,34.2489,14.0281,-128.0899,95.0,70.0,2555983.0,190.66,191.53,190.53,190.53,2870364.0
2018-06-14 12:00,191.6351,191.5506,-0.2353,-0.1219,-0.1134,25.1775,20.111,43.9813,14.7419,-101.086,90.0,65.0,4412711.0,190.5316,191.44,190.361,191.11,1856728.0
2018-06-14 13:00,191.6061,191.4792,-0.2654,-0.1216,-0.1438,31.0424,23.4689,40.4276,15.42,-102.052,85.0,60.0,2671970.0,191.1033,191.25,190.62,190.8,1740741.0
2018-06-14 14:00,191.5846,191.4297,-0.2732,-0.1035,-0.1697,44.322,33.514,43.0658,15.9658,-82.2198,80.0,55.0,4131615.0,190.8,191.34,190.69,190.96,1459645.0
2018-06-14 15:00,191.5536,191.3516,-0.3041,-0.1075,-0.1965,36.8796,37.4147,38.8807,16.5683,-104.8399,75.0,50.0,2916637.0,190.97,191.13,190.56,190.61,1214978.0
2018-06-14 16:00,191.5321,191.2991,-0.3097,-0.0905,-0.2192,38.9336,40.0451,42.2649,17.1406,-92.5211,70.0,45.0,7125453.0,190.62,191.0,190.59,190.8,4208816.0
2018-06-15 10:00,191.4236,191.1106,-0.4286,-0.1676,-0.2611,26.7228,34.1787,28.5723,18.5852,-204.2841,100.0,40.0,-2797177.0,190.03,190.16,188.8711,189.32,9922630.0
2018-06-15 11:00,191.2751,190.8839,-0.564,-0.2423,-0.3216,24.7092,30.1219,24.9867,20.1887,-212.6976,100.0,35.0,-6789496.0,189.33,189.49,188.26,188.73,3992319.0
2018-06-15 12:00,191.1391,190.714,-0.6341,-0.2499,-0.3841,20.9034,24.1118,31.0186,21.712,-175.9619,95.0,30.0,-3870903.0,188.73,189.2699,188.3,189.1,2918593.0
2018-06-15 13:00,190.9606,190.5355,-0.7025,-0.2547,-0.4478,21.8986,22.5038,29.1862,23.1591,-158.3894,90.0,25.0,-5487727.0,189.1,189.12,188.7,188.84,1616824.0
