date,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,1. open,2. high,3. low,4. close,5. volume
2018-06-11 14:00,1125.4663,1128.2241,-0.9051,2.1672,-3.0723,89.3967,82.4138,61.2354,31.4256,149.1059,50.0,5.0,-671805.0,1135.38,1136.91,1133.705,1134.54,43265.0
2018-06-11 15:00,1125.2528,1128.6418,-0.5077,2.0517,-2.5594,82.1944,83.9315,57.3457,30.1475,126.605,45.0,0.0,-711945.0,1134.87,1134.87,1131.55,1132.61,40140.0
2018-06-11 16:00,1125.1343,1128.7702,-0.3995,1.7279,-2.1274,68.0714,79.8875,52.3317,29.0909,101.0307,40.0,85.0,-903959.0,1132.57,1133.95,1129.78,1129.99,192014.0
2018-06-12 10:00,1125.8353,1129.3692,0.0943,1.7773,-1.6831,60.3762,70.214,59.875,27.6572,129.3542,35.0,100.0,-812999.0,1131.07,1138.25,1131.0,1135.06,90960.0
2018-06-12 11:00,1126.3737,1129.855,0.433,1.6928,-1.2599,54.9456,61.1311,58.6744,26.2953,108.9551,30.0,95.0,-874218.0,1135.404,1137.08,1132.66,1134.47,61219.0
2018-06-12 12:00,1127.1387,1130.3926,0.7756,1.6283,-0.8528,61.7473,59.023,60.2216,25.0456,91.1977,25.0,90.0,-828651.0,1134.46,1135.5,1132.22,1135.5,45567.0
2018-06-12 13:00,1127.8608,1130.779,0.9514,1.4433,-0.4919,59.3467,58.6799,57.7718,23.8242,83.9622,20.0,85.0,-853565.0,1135.5372,1135.82,1133.82,1134.45,24914.0
2018-06-12 14:00,1128.4293,1131.3191,1.2378,1.3838,-0.146,65.9469,62.347,61.1192,22.6714,85.1481,15.0,80.0,-824511.0,1134.2,1136.45,1134.1,1136.45,29054.0
2018-06-12 15:00,1128.8233,1131.3592,1.0724,0.9747,0.0977,46.2377,57.1771,50.6195,21.8095,52.563,10.0,75.0,-871323.0,1136.5383,1136.7747,1131.25,1131.74,46812.0
2018-06-12 16:00,1129.8325,1132.1174,1.5353,1.1501,0.3852,59.4622,57.2156,62.2239,20.7855,84.115,5.0,100.0,-643691.0,1131.113,1139.79,1130.735,1139.32,227632.0
2018-06-13 10:00,1130.831,1132.6338,1.7384,1.0826,0.6559,53.6851,53.1283,58.629,20.095,108.8993,0.0,100.0,-730343.0,1141.12,1142.5,1137.0,1137.54,86652.0
2018-06-13 11:00,1131.782,1133.3782,2.1099,1.1632,0.9467,77.1794,63.4422,62.5583,19.4951,120.162,0.0,100.0,-621997.0,1137.6904,1143.05,1137.32,1140.45,108346.0
