date,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,1. open,2. high,3. low,4. close,5. volume
2018-06-11 14:00,55.3358,55.2396,-0.5363,-0.0249,-0.5114,38.2436,28.8639,29.764,46.9488,-80.2806,90.0,5.0,-32243487.0,54.65,54.71,54.53,54.635,1730170.0
2018-06-11 15:00,55.2213,55.192,-0.5113,0.0001,-0.5114,57.8001,41.3473,34.5613,46.9137,-67.978,85.0,0.0,-30028980.0,54.635,54.795,54.55,54.74,2214507.0
2018-06-11 16:00,55.1228,55.128,-0.5034,0.0064,-0.5098,59.656,51.8999,29.8196,46.971,-75.6249,80.0,0.0,-37275705.0,54.75,54.85,54.45,54.52,7246725.0
2018-06-12 10:00,55.0281,55.0434,-0.5138,-0.0032,-0.5106,45.4189,54.2917,24.9742,47.2212,-88.3074,100.0,0.0,-41075091.0,54.87,55.03,54.22,54.24,3799386.0
2018-06-12 11:00,54.9516,54.9917,-0.4954,0.0121,-0.5075,27.0349,44.0366,35.7463,47.459,-92.9866,95.0,0.0,-37767380.0,54.235,54.6,54.23,54.5,3307711.0
2018-06-12 12:00,54.9038,54.9663,-0.4574,0.0401,-0.4975,33.1276,35.1938,43.5408,47.2184,-54.6129,90.0,0.0,-35953927.0,54.505,54.78,54.42,54.725,1813453.0
2018-06-12 13:00,54.8513,54.9352,-0.4291,0.0547,-0.4838,49.5885,36.5837,41.4311,46.8641,-39.3228,85.0,5.0,-37884213.0,54.7268,54.83,54.61,54.64,1930286.0
2018-06-12 14:00,54.7902,54.9083,-0.4011,0.0662,-0.4673,55.8889,46.2016,41.9131,46.582,-44.1148,80.0,0.0,-36187966.0,54.6361,54.72,54.56,54.6531,1696247.0
2018-06-12 15:00,54.7202,54.8675,-0.3884,0.0631,-0.4515,48.9959,51.4911,37.3952,46.4536,-74.6669,75.0,0.0,-38454621.0,54.65,54.655,54.43,54.48,2266655.0
2018-06-12 16:00,54.6967,54.863,-0.3468,0.0837,-0.4306,61.3416,55.4088,49.318,45.7817,0.6984,70.0,0.0,-33192310.0,54.49,54.87,54.465,54.82,5262311.0
2018-06-13 10:00,54.7222,54.9075,-0.2697,0.1287,-0.3984,74.4464,61.5946,61.529,44.0433,181.7862,65.0,0.0,-30580696.0,54.98,55.4,54.91,55.33,2611614.0
2018-06-13 11:00,54.7492,54.9544,-0.2005,0.1583,-0.3588,86.0168,73.9349,62.8925,41.8939,216.3925,60.0,100.0,-27447783.0,55.335,55.7,55.335,55.4,3132913.0
2018-06-13 12:00,54.7715,55.0025,-0.1393,0.1756,-0.3149,83.4186,81.2939,64.1022,39.8519,179.97,55.0,95.0,-26061536.0,55.41,55.59,55.4,55.4599,1386247.0
2018-06-13 13:00,54.789,55.0309,-0.1025,0.1699,-0.2724,75.0279,81.4878,58.4506,38.2765,119.638,50.0,90.0,-27389300.0,55.46,55.47,55.16,55.3,1327764.0
2018-06-13 14:00,54.8004,55.0575,-0.0717,0.1606,-0.2323,66.4462,74.9643,58.7036,36.7798,106.1098,45.0,85.0,-26279668.0,55.3017,55.38,55.165,55.31,1109632.0
2018-06-13 15:00,54.8079,55.071,-0.0556,0.1414,-0.1969,50.5259,64.0,54.6373,35.6702,78.6385,40.0,80.0,-29431032.0,55.3,55.38,54.95,55.2,3151364.0
2018-06-13 16:00,54.8344,55.0671,-0.0558,0.1129,-0.1687,32.1554,49.7092,48.8293,34.5782,60.8882,35.0,75.0,-36054010.0,55.21,55.4,54.97,55.03,6622978.0
2018-06-14 10:00,54.8784,55.096,-0.0283,0.1124,-0.1406,35.4217,39.3676,58.6073,33.0926,100.7166,30.0,70.0,-33600445.0,55.45,55.645,55.18,55.37,2453565.0
2018-06-14 11:00,54.9229,55.1306,0.0008,0.1132,-0.1123,42.9919,36.8563,60.8098,31.5501,115.9854,25.0,100.0,-30043179.0,55.38,55.86,55.37,55.46,3557266.0
2018-06-14 12:00,54.9542,55.1439,0.0085,0.0966,-0.0882,50.5468,42.9868,54.062,30.0563,70.2821,20.0,95.0,-31995177.0,55.465,55.56,55.25,55.27,1951998.0
2018-06-14 13:00,54.9862,55.1564,0.0147,0.0823,-0.0676,41.8262,45.1216,54.2106,28.67,53.5862,15.0,90.0,-30296911.0,55.265,55.39,55.23,55.275,1698266.0
2018-06-14 14:00,55.0227,55.1863,0.035,0.0821,-0.0471,37.3605,43.2445,59.8389,27.5026,73.7261,10.0,85.0,-28976183.0,55.2786,55.62,55.24,55.47,1320728.0
2018-06-14 15:00,55.0622,55.198,0.0378,0.0679,-0.0301,29.8717,36.3528,53.809,26.3935,52.7319,5.0,80.0,-30506511.0,55.48,55.51,55.24,55.31,1530328.0
2018-06-14 16:00,55.1272,55.2306,0.0578,0.0704,-0.0125,44.9442,37.3921,60.2128,25.4236,67.6192,0.0,75.0,-26514056.0,55.3068,55.56,55.24,55.54,3992455.0
2018-06-15 10:00,55.1446,55.1944,0.0179,0.0243,-0.0064,39.3824,38.0661,41.1817,24.8582,-61.9623,0.0,70.0,-36108532.0,55.17,55.24,54.58,54.85,9594476.0
2018-06-15 11:00,55.1569,55.173,-0.0041,0.0019,-0.006,47.6496,43.9921,44.5672,24.3211,-72.1395,0.0,65.0,-32992068.0,54.86,55.01,54.6448,54.97,3116464.0
2018-06-15 12:00,55.1764,55.1594,-0.0165,-0.0084,-0.0081,36.46,41.164,46.2849,23.6103,-47.518,10.0,60.0,-30338543.0,54.975,55.12,54.86,55.03,2653525.0
2018-06-15 13:00,55.205,55.1656,-0.0104,-0.0019,-0.0085,49.7449,44.6181,51.6906,22.7213,-15.4664,5.0,55.0,-28626874.0,55.04,55.24,55.0,55.225,1711669.0
2018-06-15 14:00,55.238,55.1632,-0.0123,-0.003,-0.0093,65.1056,50.4368,49.2882,21.8588,-29.5832,0.0,50.0,-30057785.0,55.225,55.25,55.08,55.14,1430911.0
2018-06-15 15:00,55.2618,55.1758,-0.0012,0.0064,-0.0077,79.3289,64.7264,53.6809,20.8055,-7.9109,0.0,45.0,-27777462.0,55.14,55.38,55.06,55.2961,2280323.0
2018-06-15 16:00,55.2508,55.1696,-0.0074,0.0002,-0.0076,73.4157,72.6167,48.1555,19.8049,-39.3528,70.0,40.0,-40400060.0,55.2946,55.3,55.1,55.11,12622598.0
