date,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,1. open,2. high,3. low,4. close,5. volume
2018-06-11 14:00,101.3527,101.4052,-0.1043,-0.0016,-0.1028,61.2432,52.1852,46.6709,14.3347,-10.5265,35.0,10.0,13027910.0,101.3671,101.44,101.2,101.275,1094189.0
2018-06-11 15:00,101.2875,101.3843,-0.1119,-0.0073,-0.1046,57.0476,56.3574,44.4826,14.2067,-30.6867,30.0,5.0,11512415.0,101.27,101.275,101.04,101.185,1515495.0
2018-06-11 16:00,101.2335,101.3524,-0.1274,-0.0182,-0.1092,42.9851,53.7586,41.2584,13.9917,-29.3431,25.0,0.0,4693313.0,101.18,101.34,101.0,101.05,6819102.0
2018-06-12 10:00,101.209,101.3255,-0.1364,-0.0218,-0.1146,25.3858,41.8062,41.951,13.6298,-7.2471,20.0,0.0,6527336.0,101.1,101.4493,101.05,101.07,1834023.0
2018-06-12 11:00,101.1942,101.3112,-0.1336,-0.0152,-0.1184,21.4708,29.9472,45.6866,13.3495,-21.1609,15.0,55.0,8587943.0,101.0728,101.215,101.0,101.175,2060607.0
2018-06-12 12:00,101.1976,101.3136,-0.117,0.0012,-0.1181,43.9208,30.2591,51.071,12.825,5.9854,10.0,50.0,10642023.0,101.175,101.3899,100.89,101.3366,2054080.0
2018-06-12 13:00,101.2308,101.3014,-0.1147,0.0028,-0.1174,57.1813,40.8576,46.2879,12.3118,-0.1128,5.0,45.0,9365101.0,101.34,101.4,101.04,101.185,1276922.0
2018-06-12 14:00,101.2518,101.2917,-0.1104,0.0056,-0.116,62.6736,54.5919,46.8353,11.8243,-12.2462,0.0,40.0,10943782.0,101.185,101.29,101.1239,101.2,1578681.0
2018-06-12 15:00,101.2493,101.2477,-0.1353,-0.0154,-0.1199,40.1595,53.3381,36.6094,11.8787,-127.3175,5.0,35.0,9187191.0,101.205,101.23,100.75,100.83,1756591.0
2018-06-12 16:00,101.2633,101.2537,-0.115,0.0039,-0.1189,49.6312,50.8214,51.7839,11.5967,-26.5705,0.0,30.0,14582288.0,100.84,101.44,100.82,101.31,5395097.0
2018-06-13 10:00,101.2663,101.2495,-0.1057,0.0105,-0.1163,46.0424,45.2777,49.0651,11.1909,40.6958,0.0,25.0,12030856.0,101.72,101.78,101.07,101.21,2551432.0
2018-06-13 11:00,101.2821,101.28,-0.0685,0.0382,-0.1067,68.4771,54.7169,57.9055,10.8054,78.0387,25.0,20.0,14859320.0,101.21,101.63,101.14,101.57,2828464.0
2018-06-13 12:00,101.2938,101.3205,-0.0279,0.0631,-0.0909,66.6885,60.4027,60.7444,10.9304,186.71,20.0,100.0,16934099.0,101.57,102.01,101.57,101.705,2074779.0
2018-06-13 13:00,101.2938,101.3262,-0.0216,0.0555,-0.0771,67.488,67.5512,51.461,10.7611,74.5352,15.0,95.0,15409337.0,101.7,101.715,101.38,101.38,1524762.0
2018-06-13 14:00,101.2841,101.3408,-0.0085,0.0549,-0.0634,55.4898,63.2221,53.8712,10.3545,49.5733,10.0,90.0,16651959.0,101.38,101.53,101.21,101.48,1242622.0
2018-06-13 15:00,101.2618,101.326,-0.0216,0.0334,-0.055,44.5931,55.857,46.3306,10.5025,-79.6143,100.0,85.0,12706512.0,101.47,101.5,100.56,101.185,3945447.0
2018-06-13 16:00,101.2478,101.2806,-0.0584,-0.0027,-0.0557,35.5735,45.2188,39.3762,10.6431,-104.8949,95.0,80.0,3865432.0,101.18,101.43,100.76,100.85,8841080.0
2018-06-14 10:00,101.2483,101.2653,-0.065,-0.0075,-0.0576,37.1961,39.1209,46.5597,10.4117,4.1396,90.0,75.0,7286937.0,101.65,101.69,101.0,101.12,3421505.0
2018-06-14 11:00,101.246,101.2813,-0.0445,0.0105,-0.0549,42.631,38.4669,53.642,10.0221,111.1666,85.0,100.0,11326296.0,101.12,102.03,101.12,101.4333,4039359.0
2018-06-14 12:00,101.2615,101.3193,-0.0082,0.0374,-0.0456,61.3612,47.0628,58.4587,9.652,129.8543,80.0,95.0,13360698.0,101.44,101.89,101.235,101.68,2034402.0
2018-06-14 13:00,101.2632,101.3184,-0.0092,0.0291,-0.0383,59.6352,54.5425,49.8307,9.3004,63.3481,75.0,90.0,11999424.0,101.685,101.75,101.3,101.31,1361274.0
2018-06-14 14:00,101.2795,101.3367,0.0061,0.0355,-0.0294,56.3374,59.1113,53.9158,8.9378,77.7893,70.0,85.0,13462074.0,101.31,101.76,101.28,101.51,1462650.0
2018-06-14 15:00,101.2845,101.3189,-0.0107,0.015,-0.0257,32.0395,49.3374,46.3651,8.6029,-11.631,65.0,80.0,11971041.0,101.52,101.57,101.13,101.15,1491033.0
2018-06-14 16:00,101.302,101.3285,-0.0022,0.0188,-0.021,30.3231,39.5666,51.9704,8.2847,11.1657,60.0,75.0,17333477.0,101.155,101.49,101.14,101.42,5362436.0
2018-06-15 10:00,101.2887,101.2887,-0.0362,-0.0122,-0.024,28.2626,30.2084,42.6218,9.0313,-151.2348,100.0,70.0,3867962.0,101.51,101.53,100.26,100.91,13465515.0
2018-06-15 11:00,101.2774,101.2716,-0.0465,-0.018,-0.0285,46.0526,34.8794,46.7922,9.7406,-105.6392,95.0,65.0,7413890.0,100.9,101.24,100.64,101.11,3545928.0
2018-06-15 12:00,101.2561,101.2228,-0.0821,-0.0428,-0.0392,46.0153,40.1102,40.9748,10.4351,-136.7795,90.0,60.0,5133869.0,101.105,101.18,100.62,100.7584,2280021.0
2018-06-15 13:00,101.2441,101.1977,-0.0929,-0.043,-0.05,49.9435,47.3371,45.3068,11.0948,-118.8187,85.0,55.0,6621830.0,100.75,100.99,100.62,100.96,1487961.0
2018-06-15 14:00,101.2366,101.1484,-0.1227,-0.0582,-0.0645,42.0783,46.0124,40.6975,11.7215,-137.2465,80.0,50.0,5219697.0,100.9605,100.99,100.62,100.68,1402133.0
2018-06-15 15:00,101.2256,101.1429,-0.1119,-0.0379,-0.074,54.6651,48.8956,49.1194,12.0217,-74.918,75.0,45.0,7108047.0,100.6848,101.15,100.64,101.09,1888350.0
2018-06-15 16:00,101.1716,101.0464,-0.1788,-0.0838,-0.095,38.0092,44.9175,35.8673,12.9317,-165.8863,100.0,40.0,-27656407.0,101.09,101.235,100.07,100.13,34764454.0
