date,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,1. open,2. high,3. low,4. close,5. volume
2018-06-11 14:00,322.1668,320.4917,7.3813,-0.486,7.8672,75.8035,77.02,72.8698,49.4625,148.7245,0.0,85.0,16389008.0,327.93,331.4,327.2434,331.3653,861770.0
2018-06-11 15:00,322.8293,321.6592,7.4919,-0.3003,7.7922,80.6945,76.7662,74.4923,49.6757,156.7931,35.0,100.0,17663641.0,331.3853,333.5,330.6,332.75,1274633.0
2018-06-11 16:00,323.0977,322.6535,7.4413,-0.2807,7.722,81.7798,79.4259,72.2391,49.9385,140.3773,30.0,100.0,15992196.0,332.79,334.66,332.0,332.1,1671445.0
2018-06-12 10:00,324.162,324.5503,8.1521,0.3441,7.808,80.0963,80.8568,81.9892,50.6947,212.9201,25.0,100.0,18859157.0,344.7,346.9,338.0,342.57,2866961.0
2018-06-12 11:00,325.2844,326.4817,8.7964,0.7907,8.0057,79.237,80.371,83.3885,51.4274,191.3861,20.0,100.0,21164742.0,342.5305,347.33,342.16,344.83,2305585.0
2018-06-12 12:00,326.6421,328.6325,9.5387,1.2264,8.3123,87.7849,82.3727,85.7012,52.2041,182.9199,15.0,100.0,22851151.0,344.8466,349.75,344.8,349.0644,1686409.0
2018-06-12 13:00,328.4986,331.0084,10.3718,1.6476,8.7242,93.2099,86.744,87.726,53.0886,183.9652,10.0,100.0,25452807.0,349.0935,354.56,348.78,353.58,2601656.0
2018-06-12 14:00,329.8817,332.2905,10.1796,1.1643,9.0153,76.734,85.9096,66.5892,53.0543,127.9667,5.0,100.0,22073221.0,353.42,354.97,342.8707,344.47,3379586.0
2018-06-12 15:00,331.0929,333.0546,9.5814,0.4529,9.1285,48.7079,72.8839,59.3409,52.4263,73.6194,0.0,95.0,19409954.0,344.5186,345.42,338.25,340.3135,2663267.0
2018-06-12 16:00,332.1459,333.9798,9.1996,0.0568,9.1427,25.8337,50.4252,62.0533,51.8298,73.0114,30.0,90.0,21417936.0,340.43,344.49,340.26,342.77,2007982.0
2018-06-13 10:00,333.1906,334.6659,8.6689,-0.379,9.048,18.9727,31.1714,59.218,51.3817,65.1108,25.0,85.0,19855037.0,346.706,346.706,339.8,341.1832,1562899.0
2018-06-13 11:00,334.3182,335.4631,8.3023,-0.5965,8.8988,24.4019,23.0694,61.5011,50.9824,64.6843,20.0,80.0,21404744.0,341.1915,347.2,340.73,343.0368,1549707.0
2018-06-13 12:00,335.6459,336.4257,8.1225,-0.6211,8.7436,42.6533,28.676,64.5176,50.6031,66.8883,15.0,75.0,22382436.0,343.159,346.53,342.98,345.57,977692.0
2018-06-13 13:00,336.9634,337.2966,7.8891,-0.6836,8.5727,62.7966,43.284,64.5176,50.2428,63.0447,10.0,70.0,22382436.0,345.5,346.2,344.28,345.57,466716.0
2018-06-13 14:00,338.3135,338.0159,7.5588,-0.8111,8.3699,76.0013,60.4838,62.7913,49.9005,55.0881,5.0,65.0,22077644.0,345.49,345.73,344.32,344.85,304792.0
2018-06-13 15:00,339.6632,338.6482,7.1984,-0.9372,8.1356,68.9603,69.2527,62.2897,49.1968,44.3985,0.0,60.0,21298576.0,344.84,346.2,341.9,344.655,779068.0
2018-06-13 16:00,340.5,339.2322,6.844,-1.0333,7.8773,63.1798,69.3805,62.503,48.5611,46.1027,0.0,55.0,23031445.0,344.62,346.65,343.01,344.78,1732869.0
2018-06-14 10:00,341.6338,340.4725,7.0846,-0.6342,7.7187,67.8262,66.6554,72.747,48.4593,112.1742,10.0,50.0,25097138.0,347.63,354.5,346.6,352.255,2065693.0
2018-06-14 11:00,342.7183,341.456,7.0763,-0.514,7.5902,71.1497,67.3852,68.6885,48.3627,118.7813,5.0,45.0,23833397.0,352.25,354.0,350.325,350.8,1263741.0
